"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","E1","20-Nov-2018","        126.10","        123.00","        124.00","        113.50","        113.50","        113.60","        116.38","    1109340","           129107500.20","       7013","     479141","         43.19"
"TATASTEEL","EQ","20-Nov-2018","        582.40","        577.00","        578.00","        562.00","        563.25","        563.30","        568.23","    7636368","          4339181799.85","     114174","    2539505","         33.26"
"TATASTEEL","E1","21-Nov-2018","        113.60","        113.00","        113.00","        109.00","        109.50","        109.75","        110.43","     643992","            71117827.55","       4536","     195830","         30.41"
"TATASTEEL","EQ","21-Nov-2018","        563.30","        562.00","        562.00","        550.00","        551.40","        551.40","        553.85","   11242898","          6226910909.95","     141022","    5698683","         50.69"
"TATASTEEL","E1","22-Nov-2018","        109.75","        109.00","        111.70","        105.05","        107.60","        107.30","        108.68","     435164","            47293284.20","       3601","     103287","         23.74"
"TATASTEEL","EQ","22-Nov-2018","        551.40","        552.00","        553.60","        538.15","        539.10","        539.65","        544.90","    8541612","          4654299226.10","     108794","    2174246","         25.45"
"TATASTEEL","E1","26-Nov-2018","        107.30","        108.00","        110.00","        100.30","        101.15","        101.10","        103.53","     697726","            72238789.90","       4777","     320304","         45.91"
"TATASTEEL","EQ","26-Nov-2018","        539.65","        544.00","        544.00","        521.65","        530.65","        530.70","        530.51","   10003787","          5307158211.80","     128346","    2124949","         21.24"
"TATASTEEL","E1","27-Nov-2018","        101.10","        100.00","        104.50","         97.80","        100.65","        102.05","        100.89","     823748","            83106300.25","       5881","     257813","         31.30"
"TATASTEEL","EQ","27-Nov-2018","        530.70","        529.70","        529.90","        512.50","        521.60","        522.30","        521.78","   15790907","          8239311433.70","     199637","    2921943","         18.50"
"TATASTEEL","E1","28-Nov-2018","        102.05","        102.60","        103.30","         99.25","         99.25","         99.70","        101.66","     403077","            40978359.00","       3043","     116655","         28.94"
"TATASTEEL","EQ","28-Nov-2018","        522.30","        522.30","        528.90","        518.65","        525.60","        523.95","        524.58","   11352466","          5955236584.15","     131272","    4334549","         38.18"
"TATASTEEL","E1","29-Nov-2018","         99.70","        101.50","        104.40","        101.25","        101.60","        101.85","        102.93","     287006","            29541744.30","       2789","      97797","         34.07"
"TATASTEEL","EQ","29-Nov-2018","        523.95","        532.00","        538.85","        529.15","        532.00","        533.55","        534.23","   13929332","          7441497368.95","     123174","    4938118","         35.45"
"TATASTEEL","E1","30-Nov-2018","        101.85","        102.90","        102.95","        100.10","        101.25","        101.10","        101.43","     211500","            21451408.25","       1569","      55064","         26.03"
"TATASTEEL","EQ","30-Nov-2018","        533.55","        535.00","        536.80","        525.50","        528.30","        529.50","        530.52","    7854071","          4166768469.70","      95969","    1998299","         25.44"
"TATASTEEL","E1","03-Dec-2018","        101.10","        105.20","        108.00","        103.05","        103.40","        103.70","        105.08","     344862","            36238380.75","       2420","      88574","         25.68"
"TATASTEEL","EQ","03-Dec-2018","        529.50","        541.20","        552.70","        535.75","        538.10","        538.10","        542.85","   12092365","          6564369904.80","     113717","    4550472","         37.63"
"TATASTEEL","E1","04-Dec-2018","        103.70","        103.20","        103.20","         93.35","        101.10","        101.60","        101.68","     202711","            20612155.95","       1574","      60858","         30.02"
"TATASTEEL","EQ","04-Dec-2018","        538.10","        532.70","        540.50","        532.15","        538.00","        538.20","        536.67","    6153810","          3302580735.00","      78154","    1603762","         26.06"
"TATASTEEL","E1","05-Dec-2018","        101.60","        100.50","        100.60","         98.10","         98.70","         98.85","         99.37","     197678","            19644047.65","       1574","      81498","         41.23"
"TATASTEEL","EQ","05-Dec-2018","        538.20","        533.00","        533.00","        515.00","        516.50","        517.70","        522.85","    7078082","          3700757620.35","      93238","    1465186","         20.70"
"TATASTEEL","E1","06-Dec-2018","         98.85","         98.25","         99.25","         93.20","         94.00","         94.60","         95.58","     484164","            46277052.00","       3309","     122194","         25.24"
"TATASTEEL","EQ","06-Dec-2018","        517.70","        513.25","        521.70","        501.00","        510.70","        510.20","        511.73","   12966714","          6635510294.00","     184271","    2020359","         15.58"
"TATASTEEL","E1","07-Dec-2018","         94.60","         94.50","         96.00","         91.00","         92.00","         92.35","         92.80","     319723","            29671115.45","       2265","     178673","         55.88"
"TATASTEEL","EQ","07-Dec-2018","        510.20","        510.70","        514.90","        503.20","        509.00","        509.30","        507.88","    8252927","          4191513366.00","     104364","    1497432","         18.14"
"TATASTEEL","E1","10-Dec-2018","         92.35","         90.00","         90.20","         87.20","         87.85","         87.75","         88.50","     244540","            21640627.90","       1779","     106380","         43.50"
"TATASTEEL","EQ","10-Dec-2018","        509.30","        499.40","        509.50","        497.00","        502.45","        502.85","        504.29","    5414705","          2730566748.10","      79142","    1020570","         18.85"
"TATASTEEL","E1","11-Dec-2018","         87.75","         85.00","         87.00","         80.40","         86.65","         86.30","         84.16","     572114","            48151247.45","       3739","     188863","         33.01"
"TATASTEEL","EQ","11-Dec-2018","        502.85","        495.60","        503.70","        486.15","        503.00","        500.75","        496.44","   11242572","          5581318087.60","     145030","    2758835","         24.54"
"TATASTEEL","E1","12-Dec-2018","         86.30","         88.80","         93.70","         86.00","         92.80","         92.50","         91.96","     255792","            23522620.05","       2210","      77628","         30.35"
"TATASTEEL","EQ","12-Dec-2018","        500.75","        506.00","        522.50","        505.50","        520.75","        520.25","        516.49","    8141983","          4205218998.65","      97242","    1297913","         15.94"
"TATASTEEL","E1","13-Dec-2018","         92.50","         94.40","         95.70","         91.20","         93.25","         92.40","         93.48","     173165","            16188231.25","       2288","      58459","         33.76"
